iter	Passed	Remaining
0	46	18510
1	46	9309
2	47	6236
3	47	4702
4	47	3780
5	48	3161
6	48	2722
7	48	2391
8	49	2135
9	49	1929
10	49	1760
11	50	1619
12	50	1501
13	50	1399
14	51	1311
15	51	1233
16	51	1165
17	52	1104
18	52	1050
19	52	1001
20	52	955
21	53	915
22	53	878
23	53	844
24	54	813
25	54	785
26	54	758
27	55	733
28	55	710
29	55	689
30	56	668
31	56	649
32	56	631
33	57	615
34	57	599
35	57	584
36	58	569
37	58	556
38	58	543
39	59	531
40	59	520
41	59	509
42	60	498
43	60	488
44	60	478
45	61	469
46	61	460
47	61	452
48	61	444
49	62	436
50	62	428
51	62	421
52	63	414
53	63	407
54	63	401
55	64	395
56	64	388
57	64	383
58	65	377
59	65	371
60	65	366
61	66	361
62	66	356
63	66	351
64	67	346
65	67	341
66	67	337
67	68	332
68	68	328
69	68	324
70	69	320
71	69	316
72	69	312
73	70	308
74	70	305
75	70	301
76	71	298
77	71	294
78	71	291
79	72	288
80	72	284
81	72	281
82	72	278
83	73	275
84	73	272
85	73	270
86	74	267
87	74	264
88	74	261
89	75	259
90	75	256
91	75	254
92	76	251
93	76	249
94	76	246
95	77	244
96	77	242
97	77	239
98	78	237
99	78	235
100	78	233
101	79	231
102	79	229
103	79	227
104	80	225
105	80	223
106	80	221
107	81	219
108	81	217
109	81	215
110	82	213
111	82	211
112	82	210
113	83	208
114	83	206
115	83	204
116	83	203
117	84	201
118	84	199
119	84	198
120	85	196
121	85	194
122	85	193
123	86	191
124	86	190
125	86	188
126	87	187
127	87	185
128	87	184
129	88	183
130	88	181
131	88	180
132	89	178
133	89	177
134	89	176
135	90	174
136	90	173
137	90	172
138	91	171
139	91	169
140	91	168
141	92	167
142	92	165
143	92	164
144	93	163
145	93	162
146	93	161
147	93	160
148	94	158
149	94	157
150	94	156
151	95	155
152	95	154
153	95	153
154	96	152
155	96	151
156	96	150
157	97	148
158	97	147
159	97	146
160	98	145
161	98	144
162	99	144
163	99	143
164	99	142
165	100	141
166	100	140
167	100	139
168	101	138
169	101	137
170	102	136
171	102	135
172	102	134
173	102	133
174	103	132
175	103	131
176	103	130
177	104	130
178	104	129
179	104	128
180	105	127
181	105	126
182	105	125
183	106	124
184	106	123
185	106	122
186	107	122
187	107	121
188	107	120
189	108	119
190	108	118
191	108	117
192	109	117
193	109	116
194	109	115
195	110	114
196	110	113
197	110	112
198	111	112
199	111	111
200	111	110
201	112	109
202	112	109
203	112	108
204	113	107
205	113	106
206	113	105
207	113	105
208	114	104
209	114	103
210	114	102
211	115	102
212	115	101
213	115	100
214	116	100
215	116	99
216	116	98
217	117	97
218	117	97
219	117	96
220	118	95
221	118	94
222	118	94
223	118	93
224	119	92
225	119	92
226	119	91
227	120	90
228	120	90
229	120	89
230	121	88
231	121	88
232	121	87
233	122	86
234	122	86
235	122	85
236	123	84
237	123	84
238	123	83
239	124	82
240	124	82
241	124	81
242	125	80
243	125	80
244	125	79
245	126	78
246	126	78
247	126	77
248	127	77
249	127	76
250	127	75
251	128	75
252	128	74
253	128	74
254	129	73
255	129	72
256	129	72
257	130	71
258	130	70
259	130	70
260	131	69
261	131	69
262	131	68
263	132	68
264	132	67
265	132	66
266	132	66
267	133	65
268	133	65
269	133	64
270	134	63
271	134	63
272	134	62
273	135	62
274	135	61
275	135	61
276	136	60
277	136	59
278	136	59
279	137	58
280	137	58
281	137	57
282	138	57
283	138	56
284	138	56
285	139	55
286	139	54
287	139	54
288	140	53
289	140	53
290	140	52
291	141	52
292	141	51
293	141	51
294	142	50
295	142	50
296	142	49
297	143	48
298	143	48
299	144	48
300	144	47
301	144	46
302	145	46
303	145	45
304	145	45
305	146	44
306	146	44
307	146	43
308	147	43
309	147	42
310	147	42
311	148	41
312	148	41
313	148	40
314	149	40
315	149	39
316	149	39
317	150	38
318	150	38
319	150	37
320	151	37
321	151	36
322	151	36
323	152	35
324	152	35
325	152	34
326	153	34
327	153	33
328	153	33
329	153	32
330	154	32
331	154	31
332	154	31
333	155	30
334	155	30
335	155	29
336	156	29
337	156	28
338	156	28
339	157	27
340	157	27
341	157	26
342	158	26
343	158	25
344	158	25
345	159	24
346	159	24
347	159	23
348	160	23
349	160	22
350	160	22
351	161	21
352	161	21
353	161	21
354	162	20
355	162	20
356	162	19
357	163	19
358	163	18
359	163	18
360	164	17
361	164	17
362	164	16
363	165	16
364	165	15
365	165	15
366	166	14
367	166	14
368	166	14
369	167	13
370	167	13
371	167	12
372	168	12
373	168	11
374	168	11
375	169	10
376	169	10
377	169	9
378	170	9
379	170	8
380	170	8
381	171	8
382	171	7
383	171	7
384	172	6
385	172	6
386	172	5
387	173	5
388	173	4
389	173	4
390	174	4
391	174	3
392	174	3
393	175	2
394	175	2
395	175	1
396	176	1
397	176	0
398	176	0
399	177	0
